HS_NAME,HS_CEEB,HS_NCES
central catholic high school,380850,NA
pauling academy,380898,NA
westside christian high school,380936,02052126
central christian high school,380966,NA
early college high school,381042,NA
santiam crossing,381064,NA
oregon connections academy,381069,410810001680
academy at sisters the,381097,NA
academy of arts and academics,381114,NA
moravian academy,390335,NA
keystone national high school,390363,NA
achievement house charter sch,390481,NA
geibel high school,390815,01191342
holy ghost preparatory school,390870,01184776
central susquehanna i.u.,390948,NA
regina luminis academy,391034,NA
holy cross hs-dunmore,391078,NA
villa maria academy,391320,NA
pennsbury hs-west campus,391363,421884004682
pa leadership charter school,391441,420012700837
mining and mechanical inst,391470,NA
bishop mcdevitt high school,391640,NA
capital area school,391652,420087607493
wyoming seminary,392040,NA
lancaster catholic high school,392100,NA
dayspring christian academy,392107,NA
jp mccaskey east high school,392111,NA
lancaster country day school,392115,NA
veritas press scholars academy,392122,NA
christopher dock mennonite h s,392149,NA
linden hall school for girls,392295,NA
pennsylvania cyber charter sch,392609,NA
tinicum art and science,393130,NA
country day sch sacred heart,393220,NA
gateway to college,393252,NA
girard college high school,393335,01196464
john w hallahan catholic hs,393350,01186911
agora cyber charter school,393397,NA
performing arts sch of phila,393426,NA
preparatory charter school,393449,NA
william penn charter school,393560,NA
eden christian academy,393631,NA
