HS_CEEB,HS_CITY,HS_NAME,HS_POSTAL_CD,HS_STATE
222365,Medford,saint clement high school,02155,MA
250150,Bay Saint Louis,saint stanislaus college prep,39520,MS
333520,New York,cathedral high school,10022,NY
431435,Memphis,lausanne collegiate school,38120,TN
101686,Tampa,berkeley preparatory school,33615,FL
110797,College Park,woodward academy,30337,GA
151654,Indianapolis,bishop chatard high school,46220,IN
232355,Livonia,ladywood high school,48154,MI
333691,New York,hs math sci eng at city coll,10031,NY
430353,Clarksville,clarksville academy,37040,TN
471648,Oakton,flint hill school,22124,VA
480066,Bellevue,academic institute inc,98005,WA
050260,Bellflower,saint john bosco high school,90706,CA
060739,Highlands Ranch,skyview academy high school,80130-3605,CO
060739,Highlands Ranch,sky view academy,80130-3605,CO
142415,Kankakee,bishop mcnamara high school,60901-2060,IL
220222,Boston,commonwealth school,02116,MA
261627,Kansas City,southwest early coll campus,64113,MO
311261,Princeton,lewis school,08540,NJ
445574,Plano,willow bend academy,75075,TX
543425,Mayaguez,southwestern educational soc,00681,PR
053277,Santa Clara,saint lawrence academy,95051,CA
061436,Westminster,insight school of colorado,80031,CO
172675,Salina,sacred heart jr-sr high school,67401,KS
320553,Roswell,valley christian academy,88201,NM
393220,Bryn Mawr,country day sch sacred heart,19010,PA
440367,Austin,veritas academy,78749,TX
470040,Alexandria,st stephens & st agnes school,22304,VA
470806,Centreville,ad fontes academy,20122,VA
000437,Downey,st matthias high school,90242,CA
060295,Colorado Springs,saint marys high school,80932,CO
130509,Post Falls,immaculate conception academy,83877,ID
262073,Manchester,john f kennedy catholic hs,63011,MO
310449,Hackensack,academy advancement sci & tech,07601,NJ
344438,Winston Salem,univ of nc sch of arts hs,27127,NC
365841,Reynoldsburg,reynoldsburg estem academy,43068,OH
030506,Tucson,saint gregory coll prep sch,85712,AZ
051966,Mission Viejo,halstrom hs-mission viejo,92691,CA
051966,Laguna Hills,halstrom academy-mission viejo,92653,CA
130026,Naples,northwest academy,83847,ID
181102,Hawesville,liberty christian school,42348-5463,KY
330535,Bronx,1199 school social change,10461,NY
335935,White Plains,acad of our lady good counsel,10603,NY
392040,Kingston,wyoming seminary,18704,PA
481368,Tacoma,charles wright academy,98467,WA
030373,Rimrock,copper canyon academy,86335,AZ
140176,Aurora,aurora christian schools,60506-6206,IL
334148,New York,marsha stern talmudical acad,10033,NY
DH0004,Longmont,universal high school,80503,CO
030658,Scottsdale,rancho solano prep school,85258,AZ
041414,Little Rock,arkansas baptist high school,72223-4402,AR
054006,Santa Barbara,garden street academy,93105,CA
060136,Boulder,watershed school,80302,CO
102337,Fort Myers,lee virtual instructional prog,,FL
110119,Bogart,prince avenue christian school,30622,GA
141001,Chicago,george westinghouse college pr,60624,IL
310828,Cherry Hill,kings christian jr sr hs,08003,NJ
431103,Knoxville,tennessee governors academy,37920,TN
432132,Smyrna,stewarts creek high school,,TN
DH0003,Leesburg,fusion academy loudoun,20176-6500,VA
060727,Greenwood Village,mountain view virtual,80111,CO
333015,Manhasset,saint marys high school,11030,NY
361440,Cleveland Hts,beaumont school for girls,44118,OH
393631,Sewickley,eden christian academy,15143,PA
546045,San Juan,colegio la piedad,00914,PR
300134,Dover,cocheco arts and tech acad,03820,NH
333522,New York,leman manhattan prep school,10004,NY
430702,Franklin,comenius school,37064,TN
450132,Hurricane,diamond ranch academy,84737,UT
DH0009,San Jose,middle college at san jose cc,95126,CA
DH0009,San Jose,middle college at san jose cc,95126-2736,CA
101316,Orlando,first academy,32805,FL
334390,Oyster Bay,saint dominic high school,11771,NY
361557,Columbus,marburn academy,43229,OH
400043,East Greenwich,rocky hill school,02818,RI
444424,Magnolia,magnolia west high school,77354-4204,TX
446155,San Antonio,incarnate word high school,78212,TX
050903,Dublin,quarry lane school,94568,CA
102492,Gainesville,alachua eschool,32601,FL
390335,Bethlehem,moravian academy,18020,PA
444839,Mission,mission collegiate high school,78574,TX
310722,Neptune,class academy,07753,NJ
